date,revenue
2023-02-06,115555
2023-02-07,126344
2023-02-08,132881
2023-02-09,136589
2023-02-10,122730
2023-02-11,112634
2023-02-12,105783
2023-02-13,115475
2023-02-14,111735
2023-02-15,160658
2023-02-16,139775
2023-02-17,131750
2023-02-18,145294
2023-02-19,133724
2023-02-20,132294
2023-02-21,133905
2023-02-22,139072
2023-02-23,131215
2023-02-24,123856
2023-02-25,118492
2023-02-26,112234
2023-02-27,113219
2023-02-28,129175
2023-03-01,127612
2023-03-02,137833
2023-03-03,142642
2023-03-04,121579
2023-03-05,120751
2023-03-06,116799
2023-03-07,135071
2023-03-08,127080
2023-03-09,122978
2023-03-10,132943
2023-03-11,249372
2023-03-12,255794
2023-03-13,224817
2023-03-14,162994
2023-03-15,161902
2023-03-16,157009
2023-03-17,183689
2023-03-18,147760
2023-03-19,135310
2023-03-20,271988
2023-03-21,148847
2023-03-22,136704
2023-03-23,145996
2023-03-24,145372
2023-03-25,130416
2023-03-26,130890
2023-03-27,143433
2023-03-28,165005
2023-03-29,146158
2023-03-30,155227
2023-03-31,134734
2023-04-01,144755
2023-04-02,127445
2023-04-03,133598
2023-04-04,151250
2023-04-05,150285
2023-04-06,139466
2023-04-07,140212
2023-04-08,131973
2023-04-09,287699
2023-04-10,131910
2023-04-11,153302
2023-04-12,147796
2023-04-13,143995
2023-04-14,192999
2023-04-15,175629
2023-04-16,149151
2023-04-17,175455
2023-04-18,190550
2023-04-19,220468
2023-04-20,211622
2023-04-21,188565
2023-04-22,159988
2023-04-23,166374
2023-04-24,161703
2023-04-25,165109
2023-04-26,162257
2023-04-27,178442
2023-04-28,172552
2023-04-29,160417
2023-04-30,164440
2023-05-01,197521
2023-05-02,216554
2023-05-03,211968
2023-05-04,213606
2023-05-05,224850
2023-05-06,309518
2023-05-07,260367
2023-05-08,277367
2023-05-09,231379
2023-05-10,226834
2023-05-11,260194
2023-05-12,254098
2023-05-13,200346
2023-05-14,171779
2023-05-15,174710
2023-05-16,217671
2023-05-17,172560
2023-05-18,185350
2023-05-19,193257
2023-05-20,163715
2023-05-21,161388
2023-05-22,169508
2023-05-23,189808
2023-05-24,184229
2023-05-25,183837
2023-05-26,185134
2023-05-27,191828
2023-05-28,161445
2023-05-29,198780
2023-05-30,186516
2023-05-31,184446
2023-06-01,175536
2023-06-02,192551
2023-06-03,168124
2023-06-04,159240
2023-06-05,162018
2023-06-06,167274
2023-06-07,166769
2023-06-08,160269
2023-06-09,164535
2023-06-10,180152
2023-06-11,136540
2023-06-12,142440
2023-06-13,146224
2023-06-14,139605
2023-06-15,146529
2023-06-16,138175
2023-06-17,152126
2023-06-18,145481
2023-06-19,134391
2023-06-20,152523
2023-06-21,159576
2023-06-22,174389
2023-06-23,168583
2023-06-24,160122
2023-06-25,152719
2023-06-26,151385
2023-06-27,159042
2023-06-28,170798
2023-06-29,170449
2023-06-30,186932
2023-07-01,191082
2023-07-02,160366
2023-07-03,172920
2023-07-04,175969
2023-07-05,164514
2023-07-06,177831
2023-07-07,176032
2023-07-08,174821
2023-07-09,163651
2023-07-10,164690
2023-07-11,175898
2023-07-12,166617
2023-07-13,170834
2023-07-14,197505
2023-07-15,172151
2023-07-16,171162
2023-07-17,183250
2023-07-18,173519
2023-07-19,179831
2023-07-20,188481
2023-07-21,185779
2023-07-22,181045
2023-07-23,168757
2023-07-24,180538
2023-07-25,182542
2023-07-26,182322
2023-07-27,183211
2023-07-28,179807
2023-07-29,192238
2023-07-30,160331
2023-07-31,256450
2023-08-01,172594
2023-08-02,183313
2023-08-03,181696
2023-08-04,170270
2023-08-05,171509
2023-08-06,163694
2023-08-07,167764
2023-08-08,177712
2023-08-09,176800
2023-08-10,176402
2023-08-11,174872
2023-08-12,169026
2023-08-13,163901
2023-08-14,167530
2023-08-15,179691
2023-08-16,185544
2023-08-17,180132
2023-08-18,223627
2023-08-19,160833
2023-08-20,153796
2023-08-21,161289
2023-08-22,160168
2023-08-23,162360
2023-08-24,166439
2023-08-25,165520
2023-08-26,159360
2023-08-27,146510
2023-08-28,159069
2023-08-29,179275
2023-08-30,183112
2023-08-31,162691
2023-09-01,161074
2023-09-02,145659
2023-09-03,138236
2023-09-04,149744
2023-09-05,156702
2023-09-06,169109
2023-09-07,165875
2023-09-08,157219
2023-09-09,164854
2023-09-10,146990
2023-09-11,147633
2023-09-12,179158
2023-09-13,159439
2023-09-14,150628
