account,activer_users,dt
Deposit,1042,2025-09-21 00:00:00+00:00
Deposit,725,2025-03-20 00:00:00+00:00
Deposit,890,2025-07-19 00:00:00+00:00
Deposit,715,2025-12-20 00:00:00+00:00
Deposit,1312,2025-06-22 00:00:00+00:00
Deposit,935,2026-01-16 00:00:00+00:00
Deposit,1311,2025-08-20 00:00:00+00:00
Deposit,733,2025-06-04 00:00:00+00:00
Deposit,967,2025-08-21 00:00:00+00:00
Deposit,1225,2025-10-05 00:00:00+00:00
Deposit,1718,2025-11-18 00:00:00+00:00
Deposit,442,2025-04-20 00:00:00+00:00
Deposit,1515,2025-12-01 00:00:00+00:00
Borrow,989,2025-07-20 00:00:00+00:00
Deposit,1341,2025-08-26 00:00:00+00:00
Deposit,856,2025-09-09 00:00:00+00:00
Deposit,793,2025-11-30 00:00:00+00:00
Deposit,1027,2025-09-16 00:00:00+00:00
Deposit,1528,2025-11-06 00:00:00+00:00
Borrow,832,2025-10-05 00:00:00+00:00
Borrow,747,2025-11-18 00:00:00+00:00
Borrow,308,2025-04-20 00:00:00+00:00
Borrow,765,2025-08-21 00:00:00+00:00
Borrow,642,2026-01-21 00:00:00+00:00
Borrow,489,2026-02-17 00:00:00+00:00
Borrow,502,2025-03-25 00:00:00+00:00
Borrow,527,2025-10-18 00:00:00+00:00
Flashloan,73,2025-07-20 00:00:00+00:00
Flashloan,61,2025-03-20 00:00:00+00:00
Flashloan,167,2025-11-18 00:00:00+00:00
Flashloan,75,2025-08-21 00:00:00+00:00
Flashloan,77,2025-10-05 00:00:00+00:00
Flashloan,31,2025-04-20 00:00:00+00:00
Flashloan,12,2026-01-16 00:00:00+00:00
Flashloan,18,2026-01-21 00:00:00+00:00
Flashloan,42,2025-09-21 00:00:00+00:00
Flashloan,53,2025-06-02 00:00:00+00:00
Flashloan,36,2025-07-12 00:00:00+00:00
Flashloan,117,2025-08-20 00:00:00+00:00
Flashloan,31,2025-06-04 00:00:00+00:00
Flashloan,175,2025-06-22 00:00:00+00:00
Flashloan,108,2025-12-01 00:00:00+00:00
Flashloan,69,2025-10-18 00:00:00+00:00
Flashloan,10,2026-02-17 00:00:00+00:00
Flashloan,41,2025-03-25 00:00:00+00:00
Flashloan,99,2025-11-06 00:00:00+00:00
Flashloan,62,2025-09-16 00:00:00+00:00
Flashloan,13,2026-01-02 00:00:00+00:00
Borrow,1059,2025-08-26 00:00:00+00:00
Borrow,705,2025-09-09 00:00:00+00:00
Borrow,455,2025-11-30 00:00:00+00:00
Deposit,982,2026-02-16 00:00:00+00:00
Deposit,704,2025-06-03 00:00:00+00:00
Deposit,701,2025-12-21 00:00:00+00:00
Deposit,451,2025-04-19 00:00:00+00:00
Deposit,1024,2025-10-31 00:00:00+00:00
Deposit,910,2025-09-15 00:00:00+00:00
Deposit,677,2025-06-29 00:00:00+00:00
Deposit,1021,2025-07-25 00:00:00+00:00
Deposit,757,2025-05-10 00:00:00+00:00
Deposit,677,2025-05-29 00:00:00+00:00
Deposit,1000,2025-05-09 00:00:00+00:00
Deposit,1607,2025-10-17 00:00:00+00:00
Deposit,1213,2026-01-22 00:00:00+00:00
Deposit,1341,2026-02-11 00:00:00+00:00
Deposit,1107,2025-06-23 00:00:00+00:00
Deposit,2468,2025-10-11 00:00:00+00:00
Deposit,825,2025-05-22 00:00:00+00:00
Deposit,1186,2025-11-25 00:00:00+00:00
Borrow,526,2025-03-20 00:00:00+00:00
Borrow,666,2025-06-22 00:00:00+00:00
Borrow,876,2025-07-24 00:00:00+00:00
Borrow,923,2025-04-07 00:00:00+00:00
Borrow,550,2025-06-04 00:00:00+00:00
Borrow,968,2025-08-20 00:00:00+00:00
Borrow,561,2026-01-16 00:00:00+00:00
Borrow,773,2025-09-16 00:00:00+00:00
Borrow,759,2025-11-06 00:00:00+00:00
Borrow,680,2025-09-21 00:00:00+00:00
Borrow,547,2026-01-02 00:00:00+00:00
Borrow,720,2025-07-19 00:00:00+00:00
Borrow,373,2025-12-20 00:00:00+00:00
Repay,632,2026-01-21 00:00:00+00:00
Flashloan,107,2025-10-09 00:00:00+00:00
Flashloan,48,2025-05-31 00:00:00+00:00
Flashloan,62,2025-07-29 00:00:00+00:00
Flashloan,35,2025-03-21 00:00:00+00:00
Flashloan,11,2025-12-30 00:00:00+00:00
Flashloan,49,2025-04-15 00:00:00+00:00
Flashloan,323,2025-04-07 00:00:00+00:00
Flashloan,57,2025-07-24 00:00:00+00:00
Liquidation,4,2025-07-20 00:00:00+00:00
Borrow,728,2025-09-11 00:00:00+00:00
Borrow,1079,2025-10-02 00:00:00+00:00
Flashloan,39,2025-09-09 00:00:00+00:00
Flashloan,106,2025-08-26 00:00:00+00:00
Flashloan,30,2025-11-30 00:00:00+00:00
Borrow,374,2025-12-21 00:00:00+00:00
Borrow,607,2025-06-03 00:00:00+00:00
Borrow,499,2026-02-16 00:00:00+00:00
Borrow,316,2025-04-19 00:00:00+00:00
Borrow,627,2025-10-31 00:00:00+00:00
Borrow,860,2025-07-25 00:00:00+00:00
Borrow,741,2025-09-15 00:00:00+00:00
Borrow,462,2025-06-29 00:00:00+00:00
Borrow,888,2025-05-09 00:00:00+00:00
Borrow,479,2026-01-22 00:00:00+00:00
Borrow,663,2026-02-11 00:00:00+00:00
Borrow,778,2025-10-17 00:00:00+00:00
Borrow,679,2025-06-23 00:00:00+00:00
Borrow,693,2025-05-10 00:00:00+00:00
Borrow,608,2025-05-29 00:00:00+00:00
Borrow,1269,2025-10-11 00:00:00+00:00
Borrow,778,2025-05-22 00:00:00+00:00
Borrow,688,2025-11-25 00:00:00+00:00
Borrow,549,2025-03-19 00:00:00+00:00
Borrow,585,2025-11-12 00:00:00+00:00
Repay,320,2025-07-20 00:00:00+00:00
Repay,235,2025-03-20 00:00:00+00:00
Repay,752,2025-11-18 00:00:00+00:00
Repay,321,2025-08-21 00:00:00+00:00
Repay,350,2025-10-05 00:00:00+00:00
Repay,146,2025-04-20 00:00:00+00:00
Repay,403,2025-08-20 00:00:00+00:00
Repay,175,2025-06-04 00:00:00+00:00
Repay,171,2025-03-25 00:00:00+00:00
Repay,308,2025-10-18 00:00:00+00:00
Repay,357,2026-02-17 00:00:00+00:00
Repay,305,2025-07-24 00:00:00+00:00
Repay,1226,2025-04-07 00:00:00+00:00
Repay,530,2025-06-22 00:00:00+00:00
Repay,284,2025-09-21 00:00:00+00:00
Repay,268,2025-07-19 00:00:00+00:00
Repay,285,2025-12-20 00:00:00+00:00
Repay,355,2026-01-02 00:00:00+00:00
Repay,328,2026-01-16 00:00:00+00:00
Repay,622,2025-12-01 00:00:00+00:00
Repay,709,2025-11-06 00:00:00+00:00
Repay,326,2025-09-16 00:00:00+00:00
Borrow,837,2025-12-01 00:00:00+00:00
Flashloan,71,2025-07-16 00:00:00+00:00
Flashloan,59,2025-07-02 00:00:00+00:00
Flashloan,68,2025-10-08 00:00:00+00:00
Flashloan,8,2026-01-12 00:00:00+00:00
Flashloan,40,2025-06-27 00:00:00+00:00
