Date,Compound - Active loans ($)
2023-12-25,955891165.943374
2023-12-26,950220156.129038
2023-12-27,950622550.029679
2023-12-28,954577267.671697
2023-12-29,947732148.987091
2023-12-30,931339836.53748
2023-12-31,914237840.361309
2024-01-01,919062118.100418
2024-01-02,924869855.458364
2024-01-03,933447556.408711
2024-01-04,932431342.370407
2024-01-05,926349563.729688
2024-01-06,918026665.547555
2024-01-07,918141283.333336
2024-01-08,923933372.061983
2024-01-09,897040533.93162
2024-01-10,908883466.40792
2024-01-11,907404026.000575
2024-01-12,910665140.347152
2024-01-13,908997350.26349
2024-01-14,886599274.447989
2024-01-15,881613403.000057
2024-01-16,870135593.110496
2024-01-17,868062223.822087
2024-01-18,859782621.765426
2024-01-19,870166677.299948
2024-01-20,865931433.739542
2024-01-21,866469380.185113
2024-01-22,840543441.2099
2024-01-23,855298201.280302
2024-01-24,835714761.228325
2024-01-25,833444510.652526
2024-01-26,835523301.325729
2024-01-27,831399329.91125
2024-01-28,856204601.340172
2024-01-29,864076485.095671
2024-01-30,865408099.30366
2024-01-31,847346078.902943
2024-02-01,847760024.459442
2024-02-02,854477023.65264
2024-02-03,852804553.345496
2024-02-04,843378744.046309
2024-02-05,895667153.406666
2024-02-06,864194578.983686
2024-02-07,860424425.444087
2024-02-08,858422846.220874
2024-02-09,871675531.820761
2024-02-10,876921035.00964
2024-02-11,876397576.544426
2024-02-12,879452374.406258
2024-02-13,876891604.698537
2024-02-14,884327232.563639
2024-02-15,889925594.819808
2024-02-16,896698278.282228
2024-02-17,873378240.396902
2024-02-18,903046988.405823
2024-02-19,911468327.417203
2024-02-20,907814750.209424
2024-02-21,895038627.836471
2024-02-22,901503761.266089
2024-02-23,901311985.27417
2024-02-24,901838852.652222
2024-02-25,917301858.349117
2024-02-26,923121573.131588
2024-02-27,927906544.79483
2024-02-28,965435910.86831
2024-02-29,972741010.654223
2024-03-01,974203220.366408
2024-03-02,969019321.23731
2024-03-03,971017591.602623
2024-03-04,979235269.10215
2024-03-05,978601926.031913
2024-03-06,998030175.946283
2024-03-07,1008434223.768334
2024-03-08,1009575252.307074
2024-03-09,995163792.783111
2024-03-10,997310626.290232
2024-03-11,1005349388.58805
2024-03-12,990357803.368258
2024-03-13,990206950.2377
2024-03-14,990946438.118331
2024-03-15,986645821.384867
2024-03-16,972027219.597018
2024-03-17,978973620.630907
2024-03-18,974294321.424169
2024-03-19,923309586.505209
2024-03-20,940293875.687054
2024-03-21,952558832.49278
2024-03-22,940753388.468744
2024-03-23,948304564.74529
2024-03-24,931250174.693298
2024-03-25,956243208.986736
2024-03-26,962031656.498922
2024-03-27,955950130.966781
2024-03-28,966508677.546552
2024-03-29,978250239.021892
2024-03-30,977969100.041344
2024-03-31,973200021.929827
2024-04-01,955605552.346918
2024-04-02,954351828.023001
2024-04-03,945704837.366756
2024-04-04,943520556.276393
2024-04-05,937973503.063177
2024-04-06,935097490.721457
2024-04-07,942330182.280974
2024-04-08,957337664.897336
2024-04-09,956993128.225667
2024-04-10,962003492.848981
2024-04-11,964284343.763574
2024-04-12,952745110.162124
2024-04-13,877347773.471711
2024-04-14,877339187.888697
2024-04-15,868386332.729216
2024-04-16,854158660.047723
2024-04-17,850137944.776407
2024-04-18,855750805.466031
2024-04-19,860461766.116803
2024-04-20,862825113.523933
2024-04-21,881418684.671987
2024-04-22,891420620.978812
2024-04-23,891098230.571181
2024-04-24,883239792.671326
2024-04-25,885313771.695677
2024-04-26,867290529.32743
2024-04-27,872096936.484726
2024-04-28,878729193.893324
2024-04-29,868390253.043682
2024-04-30,876091479.621821
2024-05-01,881032773.831294
2024-05-02,853885983.142013
2024-05-03,860528584.711552
