Date,Lido Finance - Assets staked ($)
2024-06-04,36329525163.611145
2024-06-05,36762285237.856895
2024-06-06,36314432595.40211
2024-06-07,35081630888.65226
2024-06-08,35084706811.23014
2024-06-09,35340258046.58021
2024-06-10,34907149911.806656
2024-06-11,33240382130.785145
2024-06-12,33936197720.82607
2024-06-13,33062699884.732693
2024-06-14,33222722538.83697
2024-06-15,34056824687.028305
2024-06-16,34573582085.64783
2024-06-17,33562156579.013023
2024-06-18,33211444863.31637
2024-06-19,33982491481.18767
2024-06-20,33655335860.020454
2024-06-21,33735984101.680264
2024-06-22,33610215540.862446
2024-06-23,32960667073.99278
2024-06-24,32261841405.56925
2024-06-25,32804438099.605778
2024-06-26,32600691301.96647
2024-06-27,33340252203.28949
2024-06-28,32845934882.16189
2024-06-29,32827495497.303104
2024-06-30,33451020866.3418
2024-07-01,33476782138.289112
2024-07-02,33219375165.947823
2024-07-03,32005464877.493046
2024-07-04,29895302685.94954
2024-07-05,29116053853.528767
2024-07-06,29921793486.458523
2024-07-07,28491371014.285137
2024-07-08,29300829788.41527
2024-07-09,29779557370.136497
2024-07-10,30159840829.549885
2024-07-11,30108647841.195435
2024-07-12,30404652872.475292
2024-07-13,30904182056.99849
2024-07-14,31539668810.60959
2024-07-15,33789271542.305256
2024-07-16,33617481528.711555
2024-07-17,33140696764.823444
2024-07-18,33467498167.690674
2024-07-19,34349565645.811436
2024-07-20,34412341871.1441
2024-07-21,34565477101.42018
2024-07-22,33709928957.49917
2024-07-23,34150809686.94165
2024-07-24,32724442332.99932
2024-07-25,31235477189.126137
2024-07-26,32202225084.614105
2024-07-27,31959104043.870365
2024-07-28,32138738886.80453
2024-07-29,32647816724.92761
2024-07-30,32270962868.704044
2024-07-31,31817141090.63565
2024-08-01,31559067364.13101
2024-08-02,29424221521.139297
2024-08-03,28524822868.371468
2024-08-04,26444380703.00843
2024-08-05,23790587967.56382
2024-08-06,24176648460.155266
2024-08-07,23008553083.29961
2024-08-08,26356697534.186516
2024-08-09,25510434978.81635
2024-08-10,25616795432.20294
